L1,L2,L3,R1,R2,R3,D1,1X,1Y,1Z,2X,2Y,2Z
0,0,-17,-23,-2,7,8191.0,997.0,-322.0,226.0,999.0,-203.0,242.0
0,0,-17,-22,-3,6,8191.0,936.0,-266.0,42.0,826.0,-55.0,256.0
0,0,-17,-23,-3,8,8191.0,943.0,-203.0,316.0,917.0,-48.0,278.0
0,0,-14,-28,-2,12,8191.0,957.0,-427.0,99.0,812.0,4.0,267.0
0,0,-14,-26,-3,6,128.0,-537.0,191.0,-47.0,537.0,-84.0,-57.0
-1,0,-9,6,0,-5,128.0,1153.0,-517.0,1373.0,1690.0,-156.0,-37.0
0,0,34,26,8,-5,1268.0,1422.0,-784.0,-604.0,1035.0,227.0,318.0
0,0,82,-22,-1,-5,1268.0,1479.0,-298.0,99.0,590.0,-396.0,519.0
0,0,103,-29,-2,-5,1268.0,282.0,-497.0,1042.0,1003.0,-121.0,372.0
0,0,115,-29,-2,-5,1268.0,714.0,-237.0,759.0,870.0,-329.0,283.0
0,0,128,-29,-3,-5,8191.0,648.0,-512.0,734.0,852.0,-230.0,271.0
5,0,57,-30,-2,-5,113.0,721.0,-444.0,470.0,572.0,-233.0,71.0
63,18,-13,-30,-2,-6,113.0,973.0,-93.0,798.0,1390.0,-480.0,-120.0
30,35,-16,-29,-3,0,113.0,884.0,-120.0,1532.0,1227.0,-238.0,182.0
0,1,-18,-23,-2,6,113.0,1029.0,-339.0,36.0,620.0,26.0,412.0
0,0,-18,-23,-2,6,113.0,1049.0,-334.0,47.0,1002.0,-127.0,266.0
0,0,-18,-23,-2,2,113.0,872.0,-85.0,109.0,832.0,-129.0,273.0
0,0,-15,-26,-3,10,113.0,915.0,-278.0,229.0,894.0,12.0,354.0
0,0,-14,-27,-2,15,113.0,1124.0,-362.0,265.0,935.0,99.0,359.0
0,0,-12,-25,-3,6,117.0,1315.0,-392.0,1031.0,752.0,-228.0,-37.0
0,0,-8,15,0,-5,1168.0,1102.0,-419.0,1316.0,1472.0,60.0,7.0
