Time,L1,L2,L3,R1,R2,R3,D1,1X,1Y,1Z,2X,2Y,2Z
10:34:02.197,16,5,-37,-5,-16,1,42.0,888.0,1002.0,-32.0,167.0,343.0,1135.0
10:34:02.365,-1,-5,-54,-1,-7,2,42.0,736.0,746.0,-455.0,-267.0,-54.0,1040.0
10:34:02.470,-1,-6,-51,1,-7,0,34.0,761.0,817.0,-225.0,-44.0,166.0,445.0
10:34:02.637,-2,-4,-48,2,-11,0,35.0,1039.0,145.0,-359.0,-38.0,251.0,777.0
10:34:02.807,0,2,-35,9,-4,-1,38.0,1921.0,518.0,-635.0,-211.0,265.0,1245.0
10:34:02.956,2,6,-37,-4,-22,-2,55.0,437.0,3004.0,-901.0,-67.0,315.0,1001.0
10:34:03.131,0,-2,33,-3,-13,-1,58.0,1158.0,50.0,-200.0,-29.0,-60.0,918.0
10:34:03.224,0,-2,-16,-3,-14,0,46.0,432.0,182.0,-197.0,55.0,368.0,301.0
10:34:03.389,18,1,-40,-7,-17,0,39.0,523.0,1271.0,128.0,-85.0,1886.0,955.0
10:34:03.559,-1,-6,-54,-4,-16,7,45.0,645.0,987.0,-219.0,65.0,-496.0,1069.0
10:34:03.748,-1,-6,-49,-1,-10,3,38.0,702.0,431.0,-566.0,75.0,1285.0,443.0
10:34:03.823,-2,-7,-48,10,-8,0,38.0,1223.0,382.0,70.0,-98.0,822.0,407.0
